uf,cnpj,cns,nome_oficial,municipio,cep,homepage,data_instalacao,atribuicoes,area_abrangencia,comarca
CE,06.581.532/0001-46,02.046-1,"2º ofício de registro de imóveis, títulos e documentos e pessoas jurídicas e tabelionato de notas e protesto",Itapipoca,62500000,"",1910-10-03,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de itapipoca,itapipoca
CE,09.444.530/0001-01,13.582-2,ofício de registro civil das pessoas naturais - arapari,Itapipoca,62508000,"",1915-12-20,casamentos;nascimentos;óbitos,distrito de arapari,itapipoca
CE,02.810.675/0001-21,02.032-1,"3º ofício de registro de imóveis, títulos e documentos e pessoas jurídicas e tabelionato de notas e protesto",Itapipoca,62500000,"",1998-10-09,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de itapipoca,itapipoca
CE,09.444.530/0001-01,01.882-0,ofício de registro civil das pessoas naturais tabelionato de notas - barrento,Itapipoca,62515000,"",1955-11-05,casamentos;nascimentos;notas;óbitos,distrito de barrento,itapipoca
CE,09.444.530/0001-01,13.776-0,ofício de registro civil das pessoas naturais - cruxati,Itapipoca,62525000,"",1945-07-08,casamentos;nascimentos;óbitos,distrito de cruxati,itapipoca
CE,02.145.521/0001-62,01.800-2,ofício de registro civil das pessoas naturais  e tabelionato de notas - dist.marinheiros,Itapipoca,62520000,"",1955-10-19,casamentos;nascimentos;notas;óbitos,distrito de marinheiros,itapipoca
CE,01.889.122/0001-43,01.753-3,"1º ofício de registro civil, títulos e ducumentos e tabelionato de notas e protesto",Itapiúna,62740000,"",1905-04-13,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro de títulos e documentos,município de itapiúna,itapiúna
CE,07.336.530/0001-54,01.724-4,"2º ofício de registro de imóveis, títulos e documentos e tabelionato de notas e protesto",Itapiúna,62740000,"",1973-08-14,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de itapiúna,itapiúna
CE,12.460.028/0003-90,01.982-8,ofício de registro civil das pessoas naturais - caio prado,Itapiúna,62742000,"",1907-10-17,casamentos;nascimentos;óbitos,distrito de caio prado,itapiúna
CE,34.985.713/0001-73,01.693-1,ofício de registro civil das pessoas naturais - itans,Itapiúna,62746000,"",1974-07-11,casamentos;nascimentos;notas;óbitos,distrito de itans,itapiúna
CE,12.459.913/0001-50,01.978-6,ofício de registro civil das pessoas naturais - palmatória,Itapiúna,62744000,"",1974-07-25,casamentos;nascimentos;notas;óbitos,distrito de palmatória,itapiúna
CE,23.717.671/0001-73,02.030-5,ofício de registro civil das pessoas naturais e tabelionato de notas e anexos,Itarema,62590000,"",1931-02-03,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de itarema,itarema
CE,02.800.010/0001-37,13.583-0,ofício de registro civil das pessoas naturais - almofala,Itarema,62592000,"",1998-07-01,casamentos;nascimentos;notas;óbitos,distrito de almofala,itarema
CE,12.359.915/0001-77,02.082-6,ofício de registro civil das pessoas naturais - lagoa do mato,Itatira,62725000,"",1963-02-19,casamentos;nascimentos;óbitos,distrito de lagoa do mato,itatira
CE,01.386.501/0001-10,13.699-4,"1º ofício de registro civil das pessoas naturais, tabelionato de notas e anexos",Itatira,62720000,"",1994-11-30,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro de títulos e documentos,município de itatira,itatira
CE,01.272.404/0001-05,01.985-1,"2º tabelionato de notas, protesto e anexos",Itatira,62720000,"",1994-08-10,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de contratos marítimos;registro de imóveis;registro de títulos e documentos,município de itatira,itatira
CE,05.596.952/0001-33,01.756-6,"1º tabelionato de notas, ofício de registro civil das pessoas naturais e anexos",Jaguaretama,63480000,"",1889-06-17,casamentos;distribuidor extrajudicial;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de contratos marítimos;registro de títulos e documentos,município de jaguaretama,jaguaretama
